id,movie_id,genre_id
214,924482,9648
215,924482,28
216,924482,80
217,820067,16
218,820067,35
219,820067,10749
220,429473,28
221,429473,53
222,429473,18
223,812488,53
224,812488,14
225,812488,27
226,616820,27
227,616820,53
228,1039026,35
229,982317,27
230,948276,28
231,948276,18
232,948276,53
233,366672,10751
234,366672,35
235,366672,16
236,366672,28
237,752623,28
238,752623,12
239,752623,35
240,960875,27
241,960875,53
242,960875,9648
243,941959,53
244,886396,16
245,886396,28
246,886396,878
247,1034470,35
248,1034470,10751
249,1034470,16
250,950044,10402
251,884363,80
252,884363,18
253,851644,10749
254,851644,18
255,759507,28
256,759507,12
257,759507,53
258,585083,16
259,585083,35
260,585083,10751
261,585083,14
262,585083,12
263,969160,27
264,969160,53
265,354912,10751
266,354912,16
267,354912,14
268,354912,10402
269,354912,35
270,354912,12
271,299536,12
272,299536,28
273,299536,878
274,960700,14
275,960700,28
276,960700,12
277,335795,12
278,335795,10751
279,335795,10770
280,913290,27
281,913290,53
282,768744,16
283,768744,28
284,768744,12
285,768744,878
286,551271,36
287,551271,28
288,551271,18
289,744114,18
290,744114,10749
291,338953,14
292,338953,12
293,338953,28
294,595586,18
295,883083,27
296,883083,18
297,883083,36
298,1005776,27
299,1005776,53
300,580489,878
301,580489,28
302,580489,12
303,801071,27
304,639933,28
305,639933,12
306,639933,14
307,626735,18
308,626735,35
309,629542,16
310,629542,28
311,629542,12
312,629542,80
313,629542,35
314,718789,16
315,718789,28
316,718789,12
317,718789,10751
318,718789,878
319,818397,28
320,818397,53
321,818397,80
322,1034541,27
323,1034541,14
324,1034541,53
325,921360,28
326,921360,80
327,921360,53
328,993145,28
329,993145,80
330,1015724,12
331,1015724,9648
332,1015724,35
333,1015724,16
334,1015724,10751
335,526896,28
336,526896,878
337,526896,14
338,1032950,27
339,919355,14
340,919355,12
341,919355,28
342,791373,28
343,791373,12
344,791373,14
345,791373,878
346,843241,16
347,843241,14
348,37707,27
349,37707,878
350,37707,53
351,335787,28
352,335787,12
353,511817,16
354,511817,35
355,511817,14
356,511817,12
357,781099,53
358,438695,16
359,438695,12
360,438695,35
361,773867,28
362,773867,80
363,773867,35
364,773867,12
365,532870,53
366,532870,27
367,1015602,16
368,1015602,35
369,43641,16
370,43641,28
371,43641,878
372,43641,14
373,799379,878
374,799379,28
375,799379,53
376,21208,27
377,21208,53
378,21208,9648
379,1025169,99
380,961484,28
381,961484,53
382,800939,10749
383,800939,35
384,829560,10749
385,829560,18
386,968857,53
387,566525,28
388,566525,12
389,566525,14
390,836225,27
391,337404,35
392,337404,80
393,459151,16
394,459151,35
395,459151,12
396,459151,10751
397,674,12
398,674,14
399,674,10751
400,864959,12
401,864959,35
402,864959,27
403,864959,10751
404,497582,28
405,497582,12
406,497582,9648
407,497582,35
408,497582,80
409,1008779,28
410,762504,27
411,762504,9648
412,762504,878
413,762504,53
414,975120,35
415,975120,10751
416,1007401,16
417,1007401,28
418,1007401,14
419,1006851,878
420,1006851,35
421,1006851,28
422,672,12
423,672,14
424,1022256,99
425,1022256,10402
426,1039627,16
427,767,12
428,767,14
429,1013860,14
430,1013860,28
431,1013860,35
432,1013860,80
433,951368,53
434,951368,10770
435,951368,28
436,406759,878
437,484907,9648
438,484907,18
439,484907,27
440,524434,878
441,524434,28
442,524434,12
443,820232,28
444,820232,16
445,820232,14
446,1006381,12
447,1006381,878
448,1006381,35
449,755566,28
450,755566,14
451,755566,27
452,755566,35
453,798544,16
454,798544,18
455,798544,9648
456,798544,14
457,671,12
458,671,14
459,324786,18
460,324786,36
461,324786,10752
462,597922,18
463,597922,35
464,597922,10752
465,602223,27
466,602223,28
467,602223,53
468,541134,18
469,541134,80
470,541134,9648
471,12445,14
472,12445,12
473,831410,53
474,831410,27
475,831410,35
476,831410,10770
477,1037858,16
478,1037858,35
479,1037858,10751
480,782054,16
481,782054,878
482,782054,12
483,460465,28
484,460465,14
485,460465,12
486,808,16
487,808,35
488,808,14
489,808,12
490,808,10751
491,838197,35
492,838197,28
493,347201,16
494,347201,28
495,347201,35
496,722800,18
497,722800,37
498,722800,53
499,774825,16
500,774825,35
501,774825,12
502,774825,10751
503,673,12
504,673,14
505,744275,10749
506,744275,18
507,796256,27
508,796256,9648
509,829557,10749
510,829557,18
511,961427,27
512,961427,14
513,961427,12
514,961427,10751
515,760104,27
516,760104,9648
517,760104,53
518,508943,16
519,508943,35
520,508943,10751
521,508943,14
522,597,18
523,597,10749
524,628900,28
525,628900,53
526,803114,53
527,803114,27
528,843633,28
529,843633,80
530,843633,53
531,759175,14
532,759175,28
533,12444,12
534,12444,14
535,675,12
536,675,14
537,675,9648
538,999205,53
539,999205,28
540,157336,12
541,157336,18
542,157336,878
543,299534,12
544,299534,878
545,299534,28
546,20982,16
547,20982,28
548,20982,14
